system:index,ALOS_RVI,ALOS_Span,Class,HH,HHHV_Ratio,HV,.geo
00000000000000000121_0,2.6476251256066097,1102.4406340349308,0,-19.30617138364802,0.5107878986771367,-27.013189010928365,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000122_0,2.7471889491368566,1049.1041209900031,0,-18.126839467226077,0.4560338127658695,-26.84253735993336,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000123_0,2.9351994255972853,972.6000734113011,0,-16.09056491264738,0.3627694135930944,-26.715048085361595,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000124_0,2.7842535425367783,1156.153575991597,0,-18.745596911643148,0.43665077152260207,-28.368224696265223,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000125_0,2.761756267426452,1436.7862091318339,0,-21.08963915353698,0.44835373315814264,-31.49624310144678,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000126_0,2.797861304624825,1482.8787427704667,0,-21.1105774271671,0.4296634337763837,-32.20593522104349,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000127_0,2.8390881942283612,1109.8975089792712,0,-17.94779318865254,0.4089030443406725,-28.06731602124843,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000128_0,2.460231554080414,1271.6485753177917,0,-22.124897460626407,0.6258632214377564,-27.966721074780267,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000129_0,2.7528888624724583,1147.1962377590223,0,-18.91217336161401,0.4530190646372373,-28.09850416835885,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012a_0,2.752967128822921,1167.9659701846722,0,-19.08200695181533,0.45297775557177444,-28.352124803540626,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012b_0,2.684713917320237,1170.4727502113706,0,-19.618272850259544,0.48991666270074097,-28.02848766138016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012c_0,2.6249060771952415,1210.536217849116,0,-20.399761006561917,0.5238640478420739,-28.18485353384459,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012d_0,2.3909068434987737,1065.9722561283324,0,-20.707780315356544,0.673005374875473,-25.242030238062554,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012e_0,3.1166310233593912,498.1423448239713,0,-10.48860683513908,0.2834371377361292,-19.701052547563165,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000012f_0,2.822908867189856,1000.3164186980962,0,-17.15709464371757,0.41697808473070297,-26.569729431904534,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000130_0,2.407072761241211,1183.633681168239,0,-21.71084021546163,0.6617694589080032,-26.688445033514654,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000131_0,2.829694530531445,407.63945185840237,0,-10.920882291292358,0.4135801433127696,-16.981571830609184,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000132_0,2.816050621240751,552.4790014165765,0,-12.787759484216593,0.42042901140662053,-19.721871330844976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000133_0,2.639465019679767,805.0205422583309,0,-16.54734576615553,0.5154586138388375,-23.047904250790907,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000134_0,2.8093227886945544,1014.1562958493844,0,-17.374786258899746,0.4238306883413472,-26.688445033514654,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000135_0,2.4442920449097945,1266.7069810363528,0,-22.195867448505773,0.6364656622476627,-27.821762152040527,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000136_0,2.6473902557240394,928.3417810789813,0,-17.717816873883834,0.510921932023971,-24.787511902215975,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000137_0,2.4592164804633736,944.7451725169075,0,-19.07647629920053,0.6265343176483216,-24.100481831759048,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000138_0,2.4507828476913125,1209.5145530829086,0,-21.643709776763195,0.6321315467700789,-27.222497684491664,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000139_0,2.503701260173871,1156.372725567447,0,-20.79831154226153,0.5976346953319092,-26.903586425576755,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013a_0,2.543145099114016,1248.7553734055475,0,-21.32636505451397,0.5728555957713639,-28.176968022964303,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013b_0,2.599112970547452,885.917310358632,0,-17.61441220456203,0.5389865870883938,-23.99270291247754,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013c_0,2.495194774193378,1271.330370731175,0,-21.869525518417987,0.6030812669897004,-28.16121844541602,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013d_0,2.4523224031826043,1161.793567407859,0,-21.20189777121204,0.6311069029132679,-26.688445033514654,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013e_0,2.6416725398549707,880.2132775024313,0,-17.28885381984452,0.5141922171093933,-24.110346556996625,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000013f_0,2.8625586494464192,1247.4113436723517,0,-18.83386075292674,0.3973512824876258,-29.878035959743364,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000140_0,2.2945128385279143,1285.2229327604923,0,-23.4090325059181,0.7432894394115793,-27.15216621003492,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000141_0,2.637149040248783,1058.2570785874536,0,-18.98846146490304,0.5167895097891961,-26.4139245433795,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000142_0,2.481679393056718,1060.9884612317085,0,-20.068137958073905,0.6118117477991974,-25.656544976427007,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000143_0,2.581352776825782,1032.357240728,0,-19.13472453997297,0.5495751049256776,-25.81122929089888,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000144_0,2.401069803926227,1120.8182384898516,0,-21.16666084808631,0.6659240782834401,-25.938209402962684,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000145_0,2.5407642207347214,1303.300486102235,0,-21.80494611581402,0.574329474319859,-28.772292418030965,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000146_0,2.477080698159622,1416.133113018308,0,-23.21990768602926,0.614804072782873,-29.613662388677753,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000147_0,2.94688565015744,945.1856463363122,0,-15.77488959883702,0.35736518985264903,-26.38822662629711,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000148_0,2.417712490903707,938.6607617181533,0,-19.26934870815206,0.6544564397335997,-23.81917215357813,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000149_0,2.8234831418464394,888.0164181570144,0,-16.161422325083805,0.41668988233596027,-25.03647033004647,"{""type"":""MultiPoint"",""coordinates"":[]}"
